id,name,category,flavor_profiles,flavors,molecules_count,sample_molecules
1,Bakery Products,Bakery,"nut, wood, medical, roasted, bread, earthy, meat, must, peanut, chocolate, potato, medicine, nutty, bitter, corn, grass, musty, sweat, coffee, caramel, woody, roast, leather, cocoa, peanut butter, butter, medicinal, raw, hazelnut, roasted nuts, roast beef, green, popcorn, powdery, walnut, roasted nut, almond",,,
2,Bread,Bakery,"roasted, wood, medical, butterscotch, oil, peach, melon, cabbage, garlic, lemongrass, intensely, putrid, angelica, meaty, apple, raspberry, musk, shrimp, wintergreen, candy, cinnamic, cool, lily, grassy, leafy, onion, dry, rancid, orris, moth ball, fruit, roast, tallow, fresh, burnt sugar, coconut, sour, barley, strong, bready, lilac, mint, bland, balsamic, rose flower, vegetable, citral, beef, strawberry, jasmine, mentholic, odorless, grapefruit, almond, minty, peppermint, rose water, fish, peanut, fecal, rum, lime, clover, beany, banana, heavy, warm, ozone, tobacco, potato, oily, medicine, orange peel, red hots, unripe banana, musty, wine, creamy, sweat, gasoline, ester, woody, brown, fermented, deep, whiskey, mothball, soup, ammoniacal, pineapple, cananga, herbal, cocoa, lemon peel, ether, clove, malt, hazelnut, orange, magnolia, green, bread crust, solvent, tropical, honeysuckle, alkaline, tonka, rose, powdery, egg, mild, fishy, geranium, alcohol, very mild, prune, honey, sulfur, lettuce, herb, alcoholic, carnation, bread, grape, decomposing cabbage, coumarin, weedy, nutty, bitter, cheese, hyacinth, maple, naphthelene, grass, acid, wine-lee, soapy, coffee, soap, leaf, menthol, ethereal, mustard, citrus, chip, rose dried, burnt, bay oil, vanilla, berry, flower, butter, lemon, camphor, cooked potato, pungent, fat, fragrant, new mown hay, fruity, thyme, popcorn, lavender, cinnamon, baked, spicy, camphoraceous, resin, walnut, unpleasant, wine_like, spice, earthy, aldehydic, vinegar, chocolate, fusel, petal, civet, rotten, peppery, soy, feet, anise, green bean, acetone, corn, animal, phenolic, storax, cheesy, faint, rubber, caramel, metallic, cherry, waxy, mushroom, linden, sweet corn, metal, sharp, acidic, herbaceous, sweaty, fatty, amine, sulfurous, stinky, muguet, moss, pepper, paint, formyl, balsam, sweet, floral, peely, tomato, pear, slightly waxy, hawthorne",,,
3,Rye Bread,Bakery,"roasted, jam, butterscotch, putrid, apple, raspberry, sickening, candy, grassy, onion, roast, dry, rancid, fruit, fresh, sour, balsamic, vegetable, beef, dirty, strawberry, almond, peanut, horseradish, banana, tobacco, potato, medicine, musty, creamy, smoky, sweat, curry, cultured dairy, woody, soup, juicy, pineapple, tart, ether, clove, malt, medicinal, green, sugar, solvent, wax, tropical, honeysuckle, rose, powdery, very mild, mild, fishy, smoke, honey, herb, nut, bean, bread, cotton, milky, grape, bitter, cheese, coffee, leaf, vanilla, butter, cooked potato, flower, dairy, celery, pungent, fat, fruity, baked, cinnamon, spicy, overripe fruit, spice, buttery, earthy, aldehydic, chocolate, fusel, civet, cucumber, storax, phenolic, cheesy, caramel, waxy, sharp, violet, fatty, amine, sulfurous, balsam, sweet, floral, tomato, pear",,,
4,Wheaten Bread,Bakery,"roasted, must, oil, natural, cabbage, putrid, meaty, sickening, onion, roast, dry, rancid, orris, fruit, fresh, bread crust, sour, caramellic, acetic, iris, fish, peanut, rum, horseradish, banana, warm, heavy, tobacco, potato, oily, musty, creamy, wine, burnt almonds, woody, brown, fermented, whiskey, jasmin, pineapple, herbal, cocoa, ether, orange, hazelnut, green, savory, tropical, rose, powdery, mild, fishy, alcohol, sulfur, nutty, bitter, cheese, hyacinth, coffee, ethereal, citrus, watercress, chip, butter, berry, pungent, celery, fruity, popcorn, spicy, plastic, earthy, chocolate, fusel, hawthorn, cream, corn, animal, phenolic, cooked, rubber, caramel, metallic, waxy, mushroom, sharp, acidic, sweaty, fatty, amine, sulfurous, roasted nuts, phenol, sweet, floral, tomato, radish",,,
5,White Bread,Bakery,"bread, rum, horseradish, banana, nutty, herb, bitter, musty, coffee, woody, brown, caramel, cherry, ethereal, pineapple, burnt, cocoa, berry, acidic, pungent, green, fragrant, fruity, baked, sweet, lavender, floral, odorless, rhubarb, almond, alcoholic, chemical",,,
6,Wholewheat Bread,Bakery,"roasted, furfural, acetoin, jam, hot milk, butterscotch, peach, natural, licorice, melon, cabbage, garlic, apple, meaty, raspberry, soybean, candy, wild, roquefort cheese, lily, grassy, onion, dry, rancid, fruit, fresh, wet, coconut, sour, bland, paper, vegetable, beef, fungal, strawberry, acetophenone, dirty, seaweed, odorless, almond, peanut, horseradish, banana, potato, oily, dusty, musty, creamy, sweat, gasoline, cultured dairy, woody, chicken, ammoniacal, pineapple, tart, alliaceous, cocoa, herbal, ether, malt, orange, green, solvent, wax, tropical, alkaline, rose, egg, very mild, mild, fishy, alcohol, smoke, sulfur, nut, bean, bread, cotton, milky, decomposing cabbage, coumarin, weedy, nutty, cheese, bitter, acid, soapy, coffee, soap, leaf, ethereal, citrus, chip, burnt, butter, cooked potato, berry, ammonia, dairy, raw, pungent, celery, fat, fruity, baked, walnut, plastic, unpleasant, chemical, spice, buttery, earthy, aldehydic, chocolate, fusel, cognac, cream, cucumber, acetone, corn, animal, phenolic, cheesy, caramel, cherry, waxy, mushroom, clean, sweet corn, sharp, acidic, sulfury, violet, fatty, amine, sulfurous, sweet, floral, tomato, rhubarb, pear, radish, cereal, lard, metal",,,
7,Wort,Beverage,"roasted, wood, medical, must, hot milk, oil, peach, natural, licorice, cabbage, lemongrass, putrid, apple, meaty, roasted meat, wild, onion, roast, rancid, orris, moth ball, fruit, fresh, burnt sugar, bready, coconut, sour, vegetable, fungal, dirty, jasmine, odorless, grapefruit, almond, mimosa, mesquite, almond shell, iris, fecal, peanut, clover, beany, banana, warm, tobacco, potato, oily, pyridine, neroli, musty, creamy, wine, curry, smoky, sweat, gasoline, cultured dairy, woody, fermented, chicken, whiskey, jasmin, mothball, pineapple, herbal, cocoa, ether, clove, malt, medicinal, fried, orange, hazelnut, magnolia, green, solvent, wax, tropical, honeysuckle, rose, powdery, mild, fishy, butyric, alcohol, honey, nut skin, sulfur, alcoholic, nut, bean, bread, carnation, milky, coumarin, weedy, nutty, bitter, cheese, naphthelene, hyacinth, maple, acid, soapy, soap, ethereal, citrus, burnt, bay oil, butter, berry, vanilla, flower, dairy, raw, pungent, fat, fragrant, fruity, baked, popcorn, spicy, walnut, plastic, chemical, spice, wine_like, buttery, earthy, aldehydic, chocolate, fusel, plum, civet, bacon, boiled vegetable, feet, green bean, hawthorn, animal, phenolic, cheesy, faint, rubber, metallic, caramel, cherry, waxy, mushroom, sweet corn, leather, metal, sharp, sulfury, herbaceous, sweaty, fatty, stinky, sulfurous, phenol, pepper, balsam, sweet, floral, apricot, tomato, radish, pear, lard, anisic, hawthorne",,,
8,Arrack,Beverage Alcoholic,"peanut, chocolate, fusel, grape, peach, bitter, apple, cranberry, raspberry, wine, musty, cooked, ylang, fermented, cherry, fruit, sharp, ether, burnt sugar, strong, celery, pungent, solvent, fruity, sweet, mild, alcohol, apricot, pear, almond, alcoholic",,,
9,Beer,Beverage Alcoholic,"wood, meat, must, hot milk, natural, lemongrass, tea, raspberry, wild, roast, rancid, burnt sugar, sour, paper, vegetable, lactonic, brandy, almond, mesquite, rose water, lime, neroli, wine, curry, fermented, soup, mothball, tart, cocoa, orange, hazelnut, magnolia, solvent, tropical, honeysuckle, sulfur, borneol, bean, bread, acrylate, weedy, stem, leaf, ethereal, truffle, hay, dairy, fat, fruity, walnut, chemical, root, terpene, plum, soy, apple peel, caramel, sweet corn, sulfury, stinky, roasted nuts, phenol, slightly waxy, hawthorne, roasted, medical, jam, castoreum, hop_oil, oil, peach, garlic, soybean, candy, wintergreen, dry, moth ball, blackcurrant, rose bud, fresh, lilac, coconut, yeast, dust, rose flower, dirty, jasmine, grapefruit, almond shell, iris, fecal, horseradish, clover, warm, heavy, potato, watery, dusty, orange peel, musty, ester, cultured dairy, woody, juicy, pineapple, vinous, clove, malt, medicinal, green, wax, egg, very mild, mild, alcohol, honey, alcoholic, nut, milky, grape, decomposing cabbage, guaiacol, cheese, citrus peel, naphthelene, grass, chip, burnt, vanilla, ammonia, camphor, cinnamon, overripe fruit, turpentine, cat-urine, plastic, spice, mango, buttery, earthy, estery, cognac, corn, phenolic, storax, cheesy, faint, cooked, metallic, clean, cortex, leather, sharp, amine, box tree, muguet, peely, metal, licorice, melon, cabbage, meaty, roquefort cheese, onion, glue, fruit, rummy, wet, caramellic, barley, strong, mint, strawberry, roasted peanuts, pine, odorless, fish, peanut, rum, extremely sweet, tobacco, medicine, unripe banana, brown, whiskey, jasmin, fried, savory, fishy, cotton, tropica, nutty, bitter, hyacinth, soapy, coffee, cotton candy, rose dried, bay oil, butter, lemon, pungent, celery, eugenol, baked, spicy, aldehydic, vinegar, chocolate, fusel, bacon, rotten, cooling, feet, cream, cucumber, oakmoss, waxy, mushroom, violet, laundry, pepper, fennel, balsam, sweet, incense, pear, radish, anisic, styrax, seedy, foliage, butterscotch, putrid, angelica, apple, sickening, musk, others, lily, grassy, leafy, orris, pumpkin, tallow, peanut butter, bready, balsamic, beef, fungal, papaya, acetic, beer, banana, tutti frutti, oily, pyridine, smoky, creamy, sweat, gasoline, burnt almonds, chicken, ammoniacal, herbal, ether, sugar, alkaline, tonka, rose, powdery, geranium, smoke, amber, pulpy, herb, carnation, gardenia, coumarin, acid, maple, soap, red rose, mustard, citrus, berry, cooked potato, flower, leek, raw, popcorn, lavender, unpleasant, wine_like, pastry, civet, peppery, anise, hawthorn, animal, gassy, rubber, linden, peony, acidic, sweaty, herbaceous, fatty, sulfurous, ripe, floral, rubbery, apricot, jammy, tomato, lard",,,
10,Bantu Beer,Beverage Alcoholic,"earthy, aldehydic, peanut, petal, banana, heavy, tobacco, oily, nutty, cabbage, bitter, corn, apple, almond, wine, gasoline, wild, fermented, cherry, whiskey, waxy, mushroom, onion, juicy, ethereal, orris, fruit, sweet corn, chip, burnt, cocoa, sulfury, berry, burnt sugar, bready, sharp, malt, strong, fatty, sulfurous, ether, orange, pungent, vegetable, green, solvent, tropical, fruity, balsam, rose, popcorn, sweet, floral, alcohol, tomato, overripe fruit, radish, honey, sulfur, metal, chemical",,,
